Data,IBOV,IBOVAnt
19/01/2022 10:50:59,108258.09,106667.66
19/01/2022 10:51:19,108248.10,106667.66
19/01/2022 10:51:39,108254.32,106667.66
19/01/2022 10:52:00,108254.32,106667.66
19/01/2022 10:52:20,108257.92,106667.66
19/01/2022 10:52:41,108222.38,106667.66
19/01/2022 10:53:01,108222.38,106667.66
19/01/2022 10:53:21,108215.24,106667.66
19/01/2022 10:53:41,108205.53,106667.66
19/01/2022 10:54:02,108205.53,106667.66
19/01/2022 10:54:23,108117.50,106667.66
19/01/2022 10:54:43,108176.24,106667.66
19/01/2022 10:55:04,108176.24,106667.66
19/01/2022 10:55:38,108105.86,106667.66
19/01/2022 10:55:59,108105.86,106667.66
19/01/2022 10:56:19,108219.16,106667.66
19/01/2022 10:56:40,108219.69,106667.66
19/01/2022 10:57:00,108219.69,106667.66
19/01/2022 10:57:20,108252.61,106667.66
19/01/2022 10:57:41,108228.48,106667.66
19/01/2022 10:58:02,108228.48,106667.66
19/01/2022 10:58:22,108208.53,106667.66
19/01/2022 10:58:43,108225.86,106667.66
19/01/2022 10:59:03,108225.86,106667.66
19/01/2022 10:59:24,108176.48,106667.66
19/01/2022 10:59:45,108141.46,106667.66
19/01/2022 11:00:05,108194.35,106667.66
19/01/2022 11:00:26,108194.35,106667.66
19/01/2022 11:00:47,108180.93,106667.66
19/01/2022 11:01:07,108145.05,106667.66
19/01/2022 11:01:27,108145.05,106667.66
19/01/2022 11:01:48,108179.82,106667.66
19/01/2022 11:02:08,108292.78,106667.66
19/01/2022 11:02:29,108292.78,106667.66
19/01/2022 11:02:49,108268.71,106667.66
19/01/2022 11:03:10,108245.83,106667.66
19/01/2022 11:03:31,108241.22,106667.66
19/01/2022 11:03:52,108241.22,106667.66
19/01/2022 11:04:12,108303.16,106667.66
19/01/2022 11:04:33,108315.88,106667.66
19/01/2022 11:04:53,108315.88,106667.66
19/01/2022 11:05:14,108323.93,106667.66
19/01/2022 11:05:35,108324.00,106667.66
19/01/2022 11:05:55,108324.00,106667.66
19/01/2022 11:06:16,108338.76,106667.66
19/01/2022 11:06:36,108324.77,106667.66
19/01/2022 11:06:57,108324.77,106667.66
19/01/2022 11:07:18,108305.65,106667.66
19/01/2022 11:07:38,108295.44,106667.66
19/01/2022 11:07:59,108295.44,106667.66
19/01/2022 11:08:19,108299.67,106667.66
19/01/2022 11:08:40,108289.85,106667.66
19/01/2022 11:09:00,108290.53,106667.66
19/01/2022 11:09:21,108290.53,106667.66
19/01/2022 11:09:41,108302.03,106667.66
19/01/2022 11:10:02,108325.77,106667.66
19/01/2022 11:10:23,108325.77,106667.66
19/01/2022 11:10:43,108282.25,106667.66
19/01/2022 11:11:03,108256.71,106667.66
19/01/2022 11:11:24,108256.71,106667.66
19/01/2022 11:11:44,108266.23,106667.66
19/01/2022 11:12:05,108304.98,106667.66
19/01/2022 11:12:26,108304.98,106667.66
19/01/2022 11:12:46,108310.03,106667.66
19/01/2022 11:13:06,108329.36,106667.66
19/01/2022 11:13:27,108329.36,106667.66
19/01/2022 11:13:47,108296.76,106667.66
19/01/2022 11:14:07,108267.93,106667.66
